Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional Info,Price
IndiGo,24-03-2019,Banglore,New Delhi,BLR → DEL,22:20,22-03-2022 01:10,2h 50m,non-stop,No info,3898
Air India,01-05-2019,Kolkata,Banglore,CCU → IXR → BBI → BLR,05:50,13:15,7h 25m,2 stops,No info,7663
Jet Airways,09-06-2019,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,10-06-2022 04:25,19h,2 stops,No info,13883
IndiGo,12-05-2019,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stop,No info,6219
IndiGo,01-03-2019,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4h 45m,1 stop,No info,13303
SpiceJet,24-06-2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,3874
Jet Airways,12-03-2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,13-03-2022 10:25,15h 30m,1 stop,In-flight meal not included,11088
Jet Airways,01-03-2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,02-03-2022 05:05,21h 5m,1 stop,No info,22271
Jet Airways,12-03-2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,13-03-2022 10:25,25h 30m,1 stop,In-flight meal not included,11088
Multiple carriers,27-05-2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1 stop,No info,8626
Air India,01-06-2019,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13h 15m,1 stop,No info,8908
IndiGo,18-04-2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4175
Air India,24-06-2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4668
Jet Airways,09-05-2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,10-05-2022 09:20,12h 10m,1 stop,In-flight meal not included,9664
IndiGo,24-04-2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4805
Air India,03-03-2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,04-03-2022 19:15,26h 35m,2 stops,No info,14012
SpiceJet,15-04-2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No info,5831
Jet Airways,12-06-2019,Delhi,Cochin,DEL → BOM → COK,14:00,13-06-2022 12:35,22h 35m,1 stop,In-flight meal not included,10263
Air India,12-06-2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,13-06-2022 19:15,23h,2 stops,No info,13382
Jet Airways,27-05-2019,Delhi,Cochin,DEL → BOM → COK,16:00,28-05-2022 12:35,20h 35m,1 stop,In-flight meal not included,12899
GoAir,06-03-2019,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5h 10m,1 stop,No info,19496
Air India,21-03-2019,Banglore,New Delhi,BLR → COK → DEL,22:00,19-03-2022 13:20,15h 20m,1 stop,No info,6956
IndiGo,03-04-2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3944
IndiGo,01-05-2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4824
Jet Airways,06-05-2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,07-05-2022 08:15,13h 20m,1 stop,In-flight meal not included,7758
Jet Airways,09-06-2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,10-06-2022 12:35,15h 10m,2 stops,No info,13293
IndiGo,01-06-2019,Delhi,Cochin,DEL → LKO → COK,21:50,02-06-2022 03:35,5h 45m,1 stop,No info,8239
GoAir,15-05-2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,7683
Vistara,18-06-2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,4669
Vistara,15-06-2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3688
Vistara,18-06-2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3688
Air India,01-05-2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,13h 25m,2 stops,No info,13228
IndiGo,06-04-2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,4424
Jet Airways,15-06-2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,16-06-2022 12:35,22h,2 stops,In-flight meal not included,10920
Jet Airways,18-05-2019,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,12374
IndiGo,27-06-2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5895
SpiceJet,21-05-2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,4650
Air India,18-05-2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,6246
Jet Airways,06-03-2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6h 15m,1 stop,No info,19226
Jet Airways,03-06-2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,14925
Multiple carriers,21-05-2019,Delhi,Cochin,DEL → HYD → COK,07:05,18:10,11h 5m,1 stop,No info,9647
Air India,15-03-2019,Banglore,New Delhi,BLR → BOM → DEL,06:45,15:15,8h 30m,1 stop,No info,8715
Jet Airways,18-05-2019,Delhi,Cochin,DEL → BOM → COK,20:55,19-05-2022 19:00,22h 5m,1 stop,In-flight meal not included,12374
Air Asia,06-05-2019,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,3384
Multiple carriers,21-03-2019,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,13063
SpiceJet,24-03-2019,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,non-stop,No check-in baggage included,3528
IndiGo,27-05-2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3944
Air India,03-05-2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4668
Air India,15-05-2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,16-05-2022 11:05,16h 5m,1 stop,No info,6118
Jet Airways,27-06-2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,28-06-2022 19:00,19h 55m,2 stops,In-flight meal not included,11151
Jet Airways,09-03-2019,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7203
Jet Airways,01-05-2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,02-05-2022 10:55,25h 20m,1 stop,No info,12122
IndiGo,24-03-2019,Banglore,New Delhi,BLR → DEL,22:20,28-03-2022 01:10,2h 50m,non-stop,No info,4378
IndiGo,18-06-2019,Banglore,Delhi,BLR → DEL,21:15,19-06-2022 00:15,3h,non-stop,No info,3944
Air Asia,03-04-2019,Banglore,Delhi,BLR → DEL,23:55,04-04-2022 02:45,2h 50m,non-stop,No info,4484
Jet Airways,24-03-2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,25-03-2022 12:00,16h 15m,1 stop,No info,14232
Air India,01-03-2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55,15h 5m,2 stops,No info,17346
Vistara,06-03-2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,7415
Multiple carriers,06-05-2019,Delhi,Cochin,DEL → BOM → COK,19:00,07-05-2022 01:30,6h 30m,1 stop,No info,8074
Vistara,06-03-2019,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,07-03-2022 16:45,25h 5m,1 stop,No info,12396
Air India,06-06-2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,21:50,12h 25m,1 stop,No info,8367
Air India,03-04-2019,Delhi,Cochin,DEL → MAA → COK,06:05,04-04-2022 09:25,27h 20m,1 stop,No info,5118
Multiple carriers,03-06-2019,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,12525
IndiGo,15-05-2019,Delhi,Cochin,DEL → BOM → COK,15:00,16-05-2022 01:30,10h 30m,1 stop,No info,7192
Vistara,24-05-2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3688
IndiGo,24-06-2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5895
Vistara,24-04-2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,5404
Air India,06-05-2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,3626
